Participant_ID,Sex,Age,Musician_type,Questionnaire,Excerpt_id,a l'aise,acceleration du rythme corporel ou cardiaque,aerien,arret du temps,bercement,bien-etre corporel,bouger,calme,chair de poule (sensation de),chaleur,danser,decouvrir,dehanchement,dynamique,echapper a quelque chose,eclatant,effondre,emouvant,enivrant,enveloppant,epanouissement,esperer,evenement important,fete,flotter,gambader,gestes larges,grandeur,grands espaces,harmonieux,image (dans la tete),imaginer,immense,impressionnant,inspire,intense,interieur,interieur de soi-meme,interiorisation,intime,jambes qui bougent,magique,montee en puissance,mouvement,mouvement du corps,mouvemente,onduler,paisible,pensees vagabondes,petillant,pied bat la mesure,planer,poesie,profond,rassurant,reconfort,reflechir,"respiration reguliere et calme, lente et profonde",rever,rire,romantisme,rythme,s'amplifier,s'embrasser,s'en aller,s'envoler,s'evader,s'ouvrir,sauts,se balader,se blottir,se projeter,se promener,se retrouver,seduire,sensation,sensuel,serrement de coeur,songeur,sourire,souvenirs,tortueux,touche l'ensemble du corps,tournoyer,vibrer,voyage
R_22QPU1OLoqIRPl9,F,23,3,4,bach_preludeincminor,5,3,4,1,5,4,5,2,1,4,0,2,0,6,5,2,0,2,4,2,5,3,3,0,4,3,2,1,5,2,1,2,2,2,4,1,2,3,3,1,0,1,4,7,6,6,5,3,6,0,0,5,2,1,2,1,5,1,4,0,0,3,3,0,4,5,6,4,0,4,0,5,3,0,1,4,0,0,4,0,1,0,3,5,0,3
R_22QPU1OLoqIRPl9,F,23,3,4,boulez_messagequisse,2,0,0,6,0,3,0,3,2,0,0,0,0,0,0,3,5,5,6,6,0,4,4,0,0,0,0,6,6,3,6,6,6,0,3,7,6,3,5,6,0,4,6,0,0,0,0,1,6,0,0,1,0,6,0,2,5,6,3,0,3,0,0,0,1,0,0,0,0,0,3,3,0,0,0,6,0,4,4,0,4,6,6,0,5,0
R_22QPU1OLoqIRPl9,F,23,3,4,debussy_quartetingminor,3,0,0,0,0,2,5,1,0,0,0,0,0,1,2,0,2,2,1,4,0,3,4,0,0,4,0,0,3,1,2,2,0,0,2,3,4,3,3,0,0,0,0,5,4,5,0,0,4,0,0,0,0,4,0,0,3,1,0,0,0,2,0,0,3,1,0,0,0,1,0,3,3,2,0,4,0,0,0,0,1,6,4,1,3,1
R_22QPU1OLoqIRPl9,F,23,3,4,rota_godfather,5,0,5,2,1,5,2,4,1,4,4,3,0,1,0,2,0,4,5,3,4,6,2,0,4,4,0,0,5,2,5,5,0,0,3,0,3,3,3,0,0,4,3,4,2,0,1,4,4,3,0,3,4,1,4,4,0,2,6,0,2,1,2,2,0,6,7,4,0,2,3,4,5,4,3,4,3,1,0,2,5,0,5,3,3,7
R_22RGtglfph7DR0Q,F,22,2,1,bach_air,4,1,1,7,0,3,1,5,0,3,8,0,0,3,0,3,0,1,5,4,1,0,0,0,2,2,0,6,4,7,3,3,4,5,0,5,7,1,0,0,2,8,1,3,6,1,0,3,0,0,0,1,6,6,3,1,3,3,0,0,0,0,1,0,1,1,6,0,0,4,0,0,5,0,0,8,0,0,3,1,1,1,0,3,7,0
R_22RGtglfph7DR0Q,F,22,2,1,bach_concertoinemajor,0,2,5,7,0,3,2,3,0,0,8,5,0,0,0,8,1,6,8,2,2,4,1,2,6,0,0,6,7,8,2,3,7,6,7,7,7,7,6,5,0,5,7,5,8,5,0,1,0,0,5,1,7,7,3,1,5,1,2,0,0,6,4,0,0,3,5,3,1,0,0,4,0,7,1,7,0,8,2,1,4,4,0,0,8,0
R_22RGtglfph7DR0Q,F,22,2,1,bach_goldberg,4,2,8,7,2,2,8,5,2,5,8,2,0,7,0,5,0,5,8,0,2,4,0,2,6,0,7,7,7,8,3,5,6,1,4,8,7,4,5,0,0,8,0,6,7,6,2,5,7,1,0,1,7,8,7,8,3,6,5,0,0,3,5,0,0,7,7,0,2,0,4,3,0,2,1,8,0,6,3,6,6,2,0,8,5,4
R_22RGtglfph7DR0Q,F,22,2,1,bach_preludio,1,3,5,7,0,5,7,1,0,3,0,4,0,6,7,5,0,0,8,0,0,1,0,3,5,8,5,6,7,3,4,6,1,0,4,6,6,2,0,0,2,2,3,7,6,8,0,0,3,3,6,0,2,2,4,0,0,0,7,5,0,7,4,0,1,2,6,7,6,0,0,4,2,0,0,6,0,1,2,2,0,5,4,7,3,0
R_22RGtglfph7DR0Q,F,22,2,1,bach_sinfonia,0,5,2,0,0,0,2,0,6,0,0,4,0,5,6,3,3,0,1,0,0,0,0,0,0,0,0,4,4,5,6,2,2,5,3,8,5,2,0,0,0,7,5,3,0,6,0,0,2,0,0,0,8,0,1,1,3,0,0,0,0,4,2,0,4,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,2,7,0,7,1,0
R_22RGtglfph7DR0Q,F,22,2,1,beethoven_15inaminor,5,2,5,8,3,5,1,5,1,3,8,0,0,0,2,2,0,6,7,0,4,5,0,0,5,0,6,8,5,5,3,4,6,2,6,6,7,5,7,3,2,7,2,3,7,0,0,3,0,0,0,3,8,6,5,3,0,3,2,0,2,1,5,0,5,2,7,0,2,0,0,4,0,3,1,6,0,6,1,2,2,0,5,4,6,2
