METAPHORS,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,SUM,AVERAGE,VARIANCE,
bercement,6,3,3,5,7,7,6,3,3,0,5,8,8,7,7,5,2,4,3,2,5,5,6,5,3,7,2,6,5,7,0,7,8,8,4,5,7,7,7,6,6,6,3,0,5,2,7,7,2,3,0,0,0,4,3,3,5,5,1,5,5,5,3,6,8,1,4,4,7,4,7,5,5,6,4,0,0,5,3,8,6,6,3,4,5,5,3,5,4,6,7,6,8,429,4.612903226,5.044179523,
folie,7,1,0,4,4,0,3,7,7,0,4,3,3,7,6,7,2,7,8,5,3,7,1,6,8,6,7,1,5,8,0,8,6,8,4,8,8,5,6,5,6,8,2,8,7,7,4,8,5,3,0,3,0,2,7,4,7,4,3,6,4,1,5,2,7,6,5,5,2,6,3,3,7,6,7,0,7,5,0,0,5,4,0,5,3,8,1,5,5,7,7,2,8,430,4.623655914,6.62856475,
s'échapper,1,5,0,5,7,6,8,7,6,0,6,6,1,4,3,5,0,4,4,2,7,7,1,6,0,6,8,6,3,2,0,5,0,8,1,0,2,8,7,6,5,6,6,5,5,3,3,4,6,2,1,3,2,5,8,5,6,5,7,6,3,5,4,6,8,6,6,4,4,7,7,5,0,2,5,2,6,7,7,7,7,6,5,6,8,8,4,7,5,5,6,6,0,430,4.623655914,5.780738663,
escapade,7,4,7,2,7,4,7,7,6,0,4,8,4,6,6,5,2,6,0,3,1,7,1,4,1,6,8,4,7,2,0,5,7,8,3,5,5,6,6,0,7,8,6,7,7,0,7,1,3,7,3,0,4,5,8,5,3,5,3,5,7,3,6,7,8,3,4,6,2,6,5,4,0,7,4,0,6,0,3,6,8,6,6,6,5,8,0,5,2,1,8,6,8,431,4.634408602,6.299672744,
expression faciale,8,6,6,2,7,5,0,6,6,6,4,7,5,3,7,6,3,1,5,7,0,7,3,4,7,7,6,6,5,6,0,4,7,4,2,0,8,3,7,6,5,7,2,7,0,6,6,8,3,8,1,2,4,3,7,1,6,2,2,5,6,6,3,6,8,5,3,6,5,6,8,3,8,0,0,2,6,4,2,2,6,3,2,5,3,8,3,6,5,7,5,5,8,432,4.64516129,5.535764376,
s'envoler,3,6,0,4,7,8,7,7,7,4,5,7,8,5,4,6,0,5,1,3,4,7,6,7,4,4,6,5,5,4,0,7,6,7,4,7,7,7,5,6,3,8,2,7,5,5,5,6,3,4,0,3,0,4,6,5,3,1,6,5,4,2,2,6,6,4,6,4,6,6,7,5,0,6,6,0,6,5,6,0,5,5,4,3,5,8,3,7,0,6,2,6,6,433,4.655913978,4.836839645,
pulsation,3,6,3,6,6,6,6,7,5,3,7,4,8,6,7,8,3,5,6,6,5,4,7,1,0,4,6,7,5,6,6,1,8,8,6,3,8,6,4,4,1,6,3,4,7,1,4,8,6,8,1,0,1,3,3,5,5,6,0,4,7,0,5,8,2,3,2,7,8,4,3,8,0,8,6,0,0,0,0,8,4,3,6,6,5,3,3,5,4,6,8,8,8,434,4.666666667,6.289855072,
splendide,0,6,4,5,2,7,7,2,4,0,7,4,8,8,2,4,6,6,3,6,8,3,6,5,7,7,6,6,4,5,6,1,7,8,7,4,6,7,7,8,3,7,5,8,7,4,3,4,3,5,1,3,1,4,5,6,2,2,0,3,6,0,3,3,4,7,1,5,8,6,4,8,8,0,5,8,2,1,8,4,2,7,3,0,7,2,3,4,3,6,7,6,8,434,4.666666667,5.811594203,
fort,6,6,0,4,7,6,6,1,6,0,5,7,2,6,7,7,1,6,0,4,7,7,4,5,2,5,7,4,6,4,1,8,8,8,7,8,8,3,2,7,6,5,5,7,7,3,4,7,4,7,0,2,2,0,6,4,6,5,4,7,3,2,2,5,8,7,2,6,7,6,7,3,6,5,2,3,7,3,4,0,4,6,4,4,4,8,1,5,1,4,4,6,8,436,4.688172043,5.456054231,
s'élever,6,6,5,5,6,5,6,7,7,5,7,8,6,7,3,5,5,4,1,5,3,7,5,6,0,6,7,6,5,4,1,5,8,4,3,7,7,6,6,5,2,6,6,7,6,4,7,1,4,4,1,5,5,3,3,5,5,1,5,7,3,2,3,5,5,0,5,5,5,4,8,5,6,5,6,0,8,4,7,5,3,5,6,5,5,1,4,5,2,1,2,5,4,436,4.688172043,3.869097709,
songe,0,5,6,5,7,4,8,4,7,0,7,5,7,6,5,4,5,7,4,6,8,0,3,5,0,5,8,7,1,4,5,0,8,6,8,4,4,3,3,8,7,5,4,6,3,5,6,8,3,1,2,2,4,6,3,1,6,0,7,7,4,7,4,8,6,5,5,5,5,3,4,7,6,6,5,0,0,0,0,6,7,5,8,8,7,6,3,5,4,0,5,7,7,436,4.688172043,5.869097709,
exciter,5,7,6,2,5,8,6,6,7,0,5,2,8,6,8,7,5,6,4,4,6,0,7,5,0,6,4,6,2,4,8,1,8,7,5,3,8,7,7,2,5,7,5,7,6,3,2,5,7,8,0,0,2,2,1,4,7,3,1,4,6,1,4,6,3,8,3,7,6,3,2,6,6,5,1,5,2,2,5,3,8,7,5,4,6,5,2,7,3,7,8,3,8,439,4.720430108,5.594904161,
serein,3,8,5,2,6,6,7,6,2,3,7,3,7,4,4,5,8,6,3,2,7,7,5,6,0,2,6,4,5,5,7,0,5,7,8,3,8,7,5,7,4,6,6,6,7,3,3,5,7,6,1,7,4,2,5,2,2,0,0,4,5,5,4,8,5,5,3,3,8,3,2,8,6,2,6,6,3,1,6,3,8,7,7,0,4,3,6,7,6,1,3,6,8,439,4.720430108,5.094904161,
plénitude,1,7,7,6,3,7,7,6,5,0,7,3,8,3,1,6,1,6,4,0,8,4,5,8,1,5,7,7,3,7,5,0,8,7,8,4,8,3,6,8,0,6,7,5,7,5,3,5,7,6,1,4,6,0,7,2,4,3,2,3,8,0,5,4,8,3,4,3,7,6,2,8,6,1,6,6,7,1,0,6,6,6,7,6,7,0,6,6,5,3,3,4,8,441,4.741935484,6.237026648,
animé,7,5,4,3,8,5,6,6,0,0,6,8,7,5,6,6,1,4,2,6,8,6,4,6,4,7,7,6,6,5,0,0,7,2,6,3,7,7,6,7,3,5,2,7,6,2,6,8,4,8,0,0,3,6,7,5,7,8,5,6,7,4,2,3,7,3,3,5,6,7,6,3,7,5,7,4,6,4,6,3,4,6,1,6,3,0,2,6,0,7,1,5,6,442,4.752688172,5.340345956,
impressionnant,8,1,4,6,5,3,0,6,6,0,5,8,6,6,8,6,2,8,5,5,4,8,4,6,8,3,6,5,7,7,0,8,6,6,5,8,7,8,4,4,4,8,4,7,7,4,6,6,4,8,4,8,4,5,7,2,7,4,4,7,0,0,2,5,7,4,4,5,8,6,7,4,5,5,4,0,0,2,5,5,0,3,6,6,0,6,0,4,3,6,0,5,6,445,4.784946237,5.779336138,
charme,5,7,6,7,6,7,7,5,3,0,7,4,8,7,4,2,3,8,6,4,6,7,7,4,5,2,7,8,6,5,1,0,8,7,7,4,8,5,5,4,5,6,3,7,5,2,0,8,6,5,0,5,0,4,3,2,6,6,4,3,6,2,4,8,5,6,5,7,6,5,2,8,0,1,2,5,4,3,6,6,7,4,3,0,6,7,2,4,3,7,6,7,7,446,4.795698925,5.207807387,
