METAPHORS,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,SUM,AVERAGE,VARIANCE,
rassurant,5,7,5,2,3,8,7,5,1,1,6,6,7,6,2,3,7,6,5,6,6,4,7,7,4,5,6,5,6,4,7,0,7,7,8,4,2,5,7,7,6,6,6,7,7,4,0,7,7,4,1,4,5,4,5,3,6,7,1,3,4,5,3,5,8,8,1,4,6,6,4,7,7,2,6,7,8,4,5,0,7,6,2,5,6,6,3,5,6,7,6,7,8,473,5.086021505,4.318606826,
réconfort,5,8,7,0,5,7,8,6,4,2,7,5,6,4,6,5,5,7,5,2,7,8,6,7,8,5,7,6,5,6,6,1,6,7,7,4,6,6,8,7,0,5,3,7,7,5,0,7,7,6,2,8,2,0,4,1,5,0,2,3,6,6,4,8,8,7,1,3,6,6,4,3,6,4,6,6,5,5,7,4,4,6,1,7,7,2,3,5,6,4,8,6,8,473,5.086021505,4.949041608,
paisible,6,6,5,3,7,6,6,6,7,0,4,6,1,3,8,5,3,7,5,7,4,6,6,5,7,5,7,5,4,6,2,4,3,8,3,7,2,6,8,5,6,6,6,5,8,5,7,7,3,8,2,8,6,3,7,4,6,8,3,5,0,3,3,6,3,6,3,3,8,5,7,2,6,5,5,6,8,3,2,8,7,8,5,5,2,6,1,6,4,6,3,4,8,474,5.096774194,4.131837307,
pied bat la mesure,8,2,5,2,2,7,0,1,8,0,5,8,8,7,6,3,8,8,3,4,8,7,5,7,4,7,7,1,7,8,0,8,8,8,3,0,3,7,8,7,5,1,7,1,8,6,7,8,4,8,4,1,3,1,4,1,1,3,4,6,0,2,7,8,8,0,3,6,8,5,8,1,8,6,5,8,7,2,7,0,8,8,6,8,6,7,5,6,7,3,5,8,8,475,5.107526882,7.683964469,
intime,3,7,4,5,5,7,8,6,4,0,7,3,7,7,7,7,6,6,6,4,3,7,6,6,0,6,5,8,3,6,6,3,7,4,6,4,8,5,5,8,6,3,4,7,7,1,7,7,7,7,0,2,5,4,5,3,7,6,2,5,5,4,3,7,5,1,4,8,6,4,6,5,8,0,6,0,7,1,5,8,6,7,4,5,6,6,3,5,5,7,7,5,8,477,5.129032258,4.461430575,
réfléchir,5,6,4,2,2,7,8,6,5,6,7,5,6,8,0,3,7,8,3,5,6,2,5,5,8,5,8,7,6,5,3,1,8,6,0,2,5,5,6,8,7,4,0,7,4,2,8,6,8,7,2,6,6,5,3,4,6,4,6,7,2,0,6,8,6,6,6,6,8,6,5,8,8,4,3,5,0,2,2,7,7,6,6,8,5,8,5,1,6,1,8,6,6,477,5.129032258,5.287517532,
harmonieux,3,7,6,5,2,8,7,6,7,4,6,4,6,4,8,7,6,4,4,6,6,4,6,7,7,5,6,6,5,6,7,5,5,7,8,5,6,6,6,7,4,7,5,7,7,5,4,8,5,7,2,8,4,2,2,0,6,3,1,3,5,3,4,7,4,6,2,3,8,6,2,7,8,0,6,6,6,4,5,5,4,6,5,4,6,1,4,3,4,5,6,6,8,479,5.150537634,3.585787751,
espérer,8,5,6,8,6,6,6,1,8,7,8,5,2,2,8,6,4,3,0,7,2,6,6,3,4,7,8,6,7,6,0,8,6,6,6,7,5,7,8,2,5,7,5,7,7,7,7,6,5,3,1,7,5,7,3,3,4,0,8,5,8,8,2,7,8,6,1,6,6,7,7,6,1,7,4,0,1,8,5,1,8,5,3,7,5,0,0,6,4,5,8,4,8,480,5.161290323,6.00631136,
sensuel,4,8,5,6,7,8,8,6,3,1,6,4,7,5,7,7,6,6,6,5,5,8,6,4,0,7,6,7,3,4,7,1,5,7,8,4,8,8,4,6,7,7,4,5,6,3,5,7,6,7,0,4,0,2,4,5,5,4,1,5,5,2,5,7,7,4,5,8,8,3,4,7,5,0,6,5,5,3,6,3,6,4,6,3,5,6,4,7,5,7,8,3,8,480,5.161290323,4.267180926,
yeux fermés,4,5,4,5,6,6,8,2,6,6,7,2,8,3,1,8,6,7,1,0,2,6,7,5,8,7,7,6,4,7,8,3,8,3,8,4,6,5,7,7,6,8,7,7,8,4,7,8,7,8,1,1,6,7,4,3,3,7,1,3,7,3,4,6,6,6,5,7,8,6,1,7,3,8,4,2,8,4,5,3,4,3,3,7,7,5,3,7,5,2,3,5,8,484,5.204301075,4.925198691,
inspiré,4,6,7,2,6,8,6,6,5,2,4,3,7,8,4,7,6,6,1,7,5,0,6,5,8,7,7,8,6,6,8,2,4,7,8,6,5,6,6,6,8,6,5,7,1,7,5,7,6,4,2,8,3,3,4,2,3,6,5,3,5,4,3,8,7,7,3,4,8,3,3,6,6,0,6,7,4,0,8,6,6,5,4,6,6,8,3,5,3,8,5,7,6,486,5.225806452,4.328892006,
se retrouver,7,4,7,6,5,5,6,4,8,7,6,7,8,7,6,6,1,2,0,7,7,5,6,5,6,8,7,4,3,1,3,8,8,1,4,7,7,6,4,0,0,7,3,6,8,0,8,7,5,1,1,8,5,3,6,5,2,5,6,6,7,4,3,5,6,5,5,6,6,4,6,6,8,6,1,3,7,7,3,7,7,5,3,7,6,8,0,7,8,7,8,6,8,486,5.225806452,5.328892006,
dynamique,8,7,6,1,7,7,6,8,7,0,5,8,5,4,6,7,5,7,6,5,7,6,4,5,8,5,7,5,6,8,1,4,8,6,4,7,6,8,4,5,5,6,4,7,8,6,4,6,5,5,1,6,3,3,5,4,6,6,7,6,0,0,4,4,5,4,4,7,5,7,7,4,8,4,5,2,7,1,8,4,8,3,4,6,7,7,3,4,0,6,5,4,8,487,5.23655914,4.291257597,
événement important,2,8,3,4,3,5,8,8,1,8,7,6,6,6,4,5,6,6,0,8,8,4,5,1,0,0,6,6,6,7,8,2,7,8,8,4,5,8,5,8,6,6,7,6,7,4,5,6,8,8,0,0,2,5,1,4,6,5,1,5,4,5,3,8,6,4,4,7,6,5,5,8,8,3,5,8,6,2,3,8,6,6,3,5,6,8,2,5,6,8,8,8,6,487,5.23655914,5.486909771,
songeur,6,5,7,4,5,8,7,6,7,0,8,6,0,5,3,5,4,6,5,3,0,4,2,7,0,8,8,7,7,6,0,8,2,8,3,6,7,3,8,8,6,6,1,8,8,6,7,4,3,1,4,8,7,8,7,2,5,0,7,5,8,7,4,8,8,3,3,7,8,6,6,6,8,6,5,5,0,5,5,0,7,4,2,7,8,8,5,8,7,5,6,6,7,493,5.301075269,6.060542309,
séduire,8,4,8,6,8,8,7,4,7,0,5,8,8,5,4,3,6,6,1,5,8,6,4,7,7,7,7,4,5,8,1,8,8,7,5,4,8,7,7,8,5,4,3,6,6,5,7,8,6,8,0,0,1,4,6,1,6,6,5,6,3,0,4,7,7,4,4,8,4,5,7,3,6,7,4,0,2,5,6,6,7,6,4,5,4,6,3,5,4,8,8,4,8,494,5.311827957,5.043010753,
magique,4,4,3,4,3,7,8,5,5,0,7,1,8,7,7,2,7,7,4,5,8,6,7,8,6,4,7,6,6,6,3,0,8,8,8,6,7,7,7,5,4,6,3,8,7,7,0,6,5,8,1,0,0,4,4,3,6,5,8,4,6,6,2,8,5,6,7,4,8,5,4,8,6,0,6,5,7,7,2,3,4,6,6,7,7,7,6,5,7,8,6,6,8,498,5.35483871,5.079242637,
pensées vagabondes,4,7,4,6,4,6,8,7,7,6,6,5,7,7,4,6,5,6,5,1,7,0,5,3,8,7,8,8,7,4,2,0,7,6,7,3,8,6,8,8,5,7,6,7,8,3,8,8,7,8,0,3,3,5,1,3,3,0,8,8,6,7,0,8,8,7,7,7,5,5,4,5,8,4,5,7,0,7,8,3,5,6,3,8,7,0,5,7,5,6,1,5,6,499,5.365591398,5.669237962,
montée en puissance,7,6,7,3,8,8,5,2,6,3,5,8,1,6,6,4,5,6,5,7,7,7,6,7,4,6,8,4,5,6,4,5,8,8,6,8,8,4,7,6,6,6,6,7,8,5,7,8,4,7,1,5,4,6,7,5,7,5,4,7,1,2,4,4,8,5,5,7,8,6,7,4,0,6,6,2,6,1,5,7,6,7,3,5,4,4,2,5,5,1,6,6,8,503,5.408602151,3.874707807,
bouger,4,8,4,3,8,8,8,8,8,2,8,5,8,6,8,8,6,3,4,0,6,8,6,3,0,5,4,7,6,6,8,2,7,7,8,3,8,5,8,3,4,6,6,4,0,3,5,5,7,8,3,2,3,5,3,8,6,3,0,4,6,2,7,8,7,7,4,6,8,5,1,8,6,5,5,7,8,2,8,8,7,6,5,7,6,8,4,3,6,3,7,5,8,505,5.430107527,5.269518467,
mouvement,2,8,6,2,8,8,8,8,8,6,8,3,8,6,8,3,6,4,5,2,5,8,4,2,7,3,6,6,5,6,8,2,6,7,8,4,4,4,8,8,2,6,7,4,6,6,6,6,6,8,2,2,1,6,3,8,7,7,0,2,6,1,7,5,6,6,2,6,8,4,2,8,8,3,5,7,8,2,8,7,8,3,3,3,8,8,2,4,6,5,8,7,8,505,5.430107527,5.291257597,
jambes qui bougent,7,6,8,7,6,7,5,8,8,0,4,8,8,7,3,3,6,6,0,2,8,7,2,8,7,7,8,6,6,8,0,7,8,8,3,8,6,6,7,5,6,4,4,0,5,5,6,8,3,8,3,0,4,4,8,1,3,3,2,7,1,3,6,8,8,6,3,5,8,4,5,3,7,7,5,8,8,5,8,8,8,5,3,5,2,3,6,6,7,8,8,4,8,507,5.451612903,5.750350631,
oreille,8,7,0,1,7,8,8,8,6,0,4,8,8,8,8,6,8,4,7,4,2,6,4,7,3,7,8,6,8,8,4,0,8,8,2,8,8,4,3,7,6,1,0,0,7,5,8,8,2,8,8,0,3,8,8,2,2,6,2,5,0,7,5,7,8,8,5,5,8,8,8,1,8,7,2,8,0,4,6,8,8,3,6,8,8,8,2,5,4,0,8,8,8,507,5.451612903,7.946002805,
intérieur de soi-même,7,4,5,1,6,8,7,7,6,7,6,7,2,8,6,7,4,4,4,4,4,6,6,6,0,7,8,7,8,8,0,4,7,6,4,8,2,7,8,8,2,8,5,8,7,4,7,1,3,6,1,7,6,6,6,4,7,4,6,8,8,4,4,5,8,4,5,7,7,6,5,6,8,6,4,1,7,3,6,7,6,5,3,8,0,8,4,6,8,6,8,7,0,510,5.483870968,4.948106592,
relaxation,7,6,6,2,5,8,8,7,8,1,7,4,7,4,5,5,6,6,3,2,6,6,5,6,8,5,8,5,7,6,8,1,5,6,8,4,5,6,8,8,6,6,6,7,8,7,3,8,7,8,1,8,4,4,3,2,3,8,0,2,5,5,4,8,8,8,4,4,8,5,4,8,8,3,6,5,5,4,8,2,2,6,5,7,5,2,4,6,5,8,6,5,8,510,5.483870968,4.404628331,
profond,6,3,6,4,7,8,6,2,7,5,3,6,7,6,3,6,3,4,0,8,6,5,5,8,6,8,7,5,6,6,1,6,7,8,3,8,5,8,7,8,5,6,4,7,7,6,8,7,3,1,1,4,6,5,7,6,7,7,4,8,6,3,3,7,7,4,6,6,8,5,8,8,7,6,5,3,7,3,7,7,5,7,3,5,6,6,5,7,5,4,7,6,8,522,5.612903226,3.587657784,
épanouissement,4,8,7,3,2,8,8,8,8,5,7,3,7,4,1,6,8,7,4,4,6,6,6,7,7,6,7,6,5,7,6,1,7,8,7,4,8,6,8,7,4,6,5,7,7,5,7,8,6,7,1,7,5,4,5,5,3,5,2,5,6,0,4,8,8,7,4,6,8,5,2,8,0,0,6,6,5,6,8,6,5,5,6,3,7,6,5,5,7,8,8,7,8,524,5.634408602,4.321411875,
découvrir,6,6,8,4,7,6,6,6,7,5,4,7,7,6,8,7,6,5,4,8,0,6,7,5,6,6,3,6,8,8,0,5,7,8,3,8,8,6,6,6,6,7,5,7,7,4,7,8,4,7,2,6,5,4,8,4,5,8,5,5,2,4,3,3,8,6,5,7,8,7,8,3,8,7,5,4,7,3,7,8,5,6,4,7,6,6,1,6,4,8,2,6,8,531,5.709677419,3.664796634,
voyage,6,6,5,3,7,8,8,6,8,3,7,3,6,6,1,6,8,6,7,6,8,4,3,5,3,7,8,8,6,6,4,0,7,7,8,6,8,6,7,8,7,7,5,8,6,6,5,3,6,6,1,0,5,8,5,8,6,3,1,6,5,6,5,8,7,8,3,6,8,8,2,8,8,1,5,4,7,8,4,7,6,6,6,4,5,8,5,7,4,8,8,6,8,536,5.76344086,4.334735858,
romantisme,6,6,7,2,6,7,5,3,5,2,4,6,7,7,8,7,8,8,4,5,8,8,4,7,6,8,7,6,7,4,1,8,6,8,8,8,8,6,8,8,4,4,4,3,8,6,6,8,2,8,0,8,0,5,5,2,5,8,4,6,6,5,5,8,8,5,6,6,6,7,4,5,7,5,6,1,5,4,6,7,7,8,6,7,6,6,4,5,7,7,8,6,8,540,5.806451613,3.962131837,
mouvement du corps,8,6,8,5,7,8,8,8,8,6,3,8,8,6,5,5,8,5,1,8,8,8,4,5,7,7,7,7,7,8,0,6,8,8,5,7,7,6,7,6,6,6,7,8,1,4,8,5,3,8,1,0,4,8,8,1,7,2,4,5,0,2,8,5,8,5,4,7,8,3,8,3,8,6,4,7,5,7,6,8,8,3,6,8,5,0,4,5,7,7,8,7,8,541,5.817204301,5.390135577,
à l'aise,7,4,5,4,8,6,6,6,6,0,6,8,7,3,7,7,0,4,4,8,7,7,7,2,8,7,7,7,7,8,0,7,6,8,4,8,7,7,8,7,7,7,6,8,6,7,7,5,5,8,1,6,5,7,7,3,6,8,5,5,1,6,6,5,8,8,5,5,5,6,7,4,8,4,1,6,7,1,8,8,6,7,5,6,7,8,1,7,4,7,7,5,8,541,5.817204301,4.433613838,
bien-être corporel,6,4,8,5,8,8,6,8,7,7,6,8,8,3,7,7,4,7,4,8,8,7,8,4,7,6,4,7,7,4,0,6,8,8,4,8,7,7,8,8,7,8,5,5,5,6,8,8,3,8,2,7,5,5,5,4,3,8,7,6,0,5,3,8,8,6,6,7,8,5,8,4,0,6,1,6,6,5,7,8,8,7,2,5,6,1,4,6,6,6,7,7,8,550,5.913978495,4.340345956,
voix,8,4,5,3,6,6,6,8,8,2,6,8,8,7,6,4,8,8,8,5,8,8,3,6,2,7,8,6,8,8,1,5,6,8,8,4,7,8,8,2,7,3,5,4,8,5,7,8,3,4,6,7,5,5,8,2,6,4,4,6,2,4,6,8,8,7,1,5,8,7,8,7,6,7,4,8,0,8,8,8,8,5,7,3,8,6,3,5,7,8,8,8,8,556,5.978494624,4.499532492,
émouvant,4,6,5,6,5,7,8,6,6,0,7,5,8,6,3,6,6,8,6,8,8,6,6,6,3,6,7,8,7,8,8,1,8,7,7,4,8,4,8,8,6,4,6,7,8,6,6,8,8,3,2,8,4,4,4,5,6,8,8,4,6,7,4,8,7,8,6,8,8,6,6,8,6,4,6,6,3,3,6,4,6,6,4,5,6,7,3,7,6,5,8,7,8,557,5.989247312,3.228143993,
énergie,5,8,4,3,4,8,6,6,7,3,6,4,8,4,8,7,7,6,4,4,3,8,6,7,8,6,6,6,6,8,8,2,6,8,8,4,8,6,7,7,5,6,5,8,7,7,6,8,6,8,1,8,3,4,7,8,7,7,0,7,6,7,6,7,3,8,6,7,8,5,4,8,4,5,5,7,5,3,8,8,8,7,8,5,8,8,6,7,1,8,8,6,8,566,6.086021505,3.622954652,
intense,7,6,8,6,7,8,6,5,8,5,6,8,8,7,5,8,5,7,8,6,8,6,6,8,4,7,8,7,8,8,1,8,8,8,8,8,6,8,8,5,6,4,7,8,8,6,6,8,6,2,3,8,3,4,8,6,7,5,1,7,5,3,5,5,8,4,4,7,8,7,7,8,8,6,5,6,8,6,7,4,3,7,3,7,6,8,2,7,8,7,8,8,8,588,6.322580645,3.307854137,
sourire,7,3,8,7,8,7,7,8,8,6,6,8,8,4,8,5,8,6,5,6,8,8,3,4,8,6,7,7,7,8,1,8,8,8,8,8,6,8,8,8,7,7,6,6,7,7,8,2,2,8,2,5,4,6,8,4,6,5,8,6,4,4,5,7,8,7,5,6,6,6,8,4,6,5,5,7,7,6,8,6,8,6,1,7,6,8,5,6,6,8,8,7,8,588,6.322580645,3.133941094,
chanter,8,4,6,5,8,8,6,8,8,7,7,8,8,7,6,7,6,8,8,5,8,8,3,7,6,8,7,6,7,8,1,6,8,8,8,4,8,8,8,8,8,8,6,6,8,3,8,8,6,8,1,6,4,5,8,1,5,6,6,6,0,5,8,8,8,7,3,6,8,7,7,7,8,5,6,8,3,6,8,8,8,0,3,1,8,8,3,5,8,7,8,6,8,589,6.333333333,4.463768116,
image (dans la tête),6,7,6,6,8,8,8,7,7,4,3,7,8,8,7,5,8,8,5,7,8,4,7,5,8,5,7,8,8,8,8,0,8,6,8,8,8,4,8,8,8,0,7,7,8,7,6,7,6,8,3,8,4,8,6,7,7,8,8,5,6,4,6,8,3,7,6,8,8,7,4,8,8,1,6,7,8,2,7,8,7,8,3,8,1,8,5,8,6,7,8,5,7,598,6.430107527,3.92169238,
rêver,7,5,8,6,8,8,8,8,8,5,7,8,3,7,8,8,1,7,7,6,7,7,4,7,7,7,7,6,8,7,1,8,7,8,8,8,7,7,1,5,6,8,3,7,8,8,7,8,3,7,2,7,6,8,5,6,4,8,7,7,8,7,5,7,8,4,5,7,8,6,6,5,8,7,6,3,7,5,7,7,6,6,7,7,8,8,4,8,8,7,7,4,8,599,6.440860215,3.097007948,
se souvenir,8,5,8,3,7,8,6,8,8,0,8,6,4,8,8,8,3,5,5,8,8,7,5,6,7,8,8,8,7,8,0,8,7,8,8,8,7,8,8,8,6,7,1,5,6,8,8,6,5,7,2,8,6,8,7,2,4,8,8,5,7,8,2,8,8,8,6,8,8,7,7,6,6,8,7,4,6,8,5,8,7,6,3,8,8,8,3,8,8,7,8,5,8,605,6.505376344,4.013557737,
fête,8,4,8,4,8,8,8,8,8,5,7,8,8,7,5,8,8,8,8,7,8,7,5,7,8,8,8,7,2,8,0,8,8,8,4,8,8,8,8,8,7,0,6,7,8,7,8,8,4,8,4,1,0,8,8,1,5,8,5,5,4,7,8,8,8,8,5,6,8,6,6,6,7,8,4,7,8,8,8,8,8,6,2,7,6,8,3,6,7,8,6,6,8,606,6.516129032,4.469845722,
souvenirs,7,6,5,2,8,7,8,6,8,1,8,6,7,8,5,7,8,8,2,7,8,7,7,5,8,5,8,8,7,7,8,4,8,8,8,8,8,8,8,8,8,8,6,7,7,4,5,5,8,8,3,8,4,3,5,8,7,8,7,8,6,8,6,8,8,8,6,7,8,7,5,3,8,5,7,8,5,8,4,7,8,7,6,8,8,8,3,7,8,6,8,7,8,621,6.677419355,2.91654979,
rythme,8,4,8,6,8,8,6,7,8,7,6,8,8,7,8,8,8,8,2,6,8,8,2,7,7,7,8,7,8,8,3,7,8,8,6,5,7,8,8,7,8,7,8,4,8,6,7,8,7,8,7,5,6,6,8,2,5,7,6,7,0,4,6,8,8,5,6,6,8,8,8,6,8,6,5,8,8,2,8,8,8,7,3,8,7,8,6,6,7,8,8,8,8,624,6.709677419,3.034361851,
sensation,8,6,8,4,8,8,8,7,8,7,7,8,8,8,8,7,8,4,8,8,7,7,4,8,5,7,8,7,8,8,0,8,7,8,4,8,7,8,8,8,7,8,5,8,5,0,7,8,5,8,2,8,5,4,8,3,7,5,8,7,8,7,5,6,8,6,6,8,8,6,8,8,8,8,5,8,8,7,8,7,6,7,2,6,8,8,6,8,8,8,8,7,8,632,6.795698925,3.186068256,
imaginer,7,8,4,5,6,8,8,7,8,8,8,6,7,7,5,4,5,6,7,8,4,3,6,6,8,7,8,8,8,7,8,2,8,7,8,4,8,7,8,8,8,8,7,8,8,6,8,8,7,8,2,8,6,7,3,6,7,8,8,8,7,2,6,8,7,7,8,7,8,6,6,8,8,5,6,8,7,6,6,7,7,8,8,8,7,8,6,7,8,8,8,5,8,633,6.806451613,2.353436185,
s'évader,7,6,8,3,8,8,8,8,8,4,7,8,7,3,5,7,4,5,6,8,8,7,7,8,7,7,7,7,8,8,1,6,8,8,8,8,7,8,8,8,6,8,5,7,8,8,6,8,4,8,4,8,5,8,8,5,7,8,8,6,7,5,5,8,8,7,5,6,8,6,8,6,7,7,7,7,6,7,8,7,7,8,5,8,8,8,5,7,8,6,7,6,8,633,6.806451613,2.09256662,
écouter,8,5,8,6,8,8,8,8,8,5,7,8,8,7,6,7,8,8,8,6,8,7,6,8,8,8,8,7,8,8,2,4,8,8,1,8,7,8,8,8,7,6,3,6,1,8,8,8,4,8,7,7,7,8,8,2,5,8,6,8,2,8,8,8,8,8,5,6,8,8,8,8,8,7,4,8,7,8,8,7,8,8,3,8,8,8,4,7,8,8,8,8,8,644,6.924731183,3.200794764,
ressentir,6,3,8,5,7,8,8,7,8,8,8,8,8,8,8,8,5,5,6,6,8,6,8,5,4,8,8,7,8,8,1,8,8,8,7,8,8,8,8,8,7,8,6,7,2,7,8,8,5,8,5,8,4,8,8,4,7,8,8,6,8,8,5,8,8,7,6,8,8,7,8,8,8,8,5,5,8,8,8,0,8,7,3,7,8,8,6,8,8,8,8,7,8,645,6.935483871,2.908835905,
danser,7,4,8,7,8,8,8,8,8,8,7,8,8,6,8,7,8,8,7,8,8,8,6,7,8,8,7,8,7,8,0,4,8,8,6,8,8,8,8,8,7,7,8,8,8,8,8,8,7,8,1,4,2,8,8,3,7,8,8,6,3,5,8,7,8,8,6,6,8,7,8,5,8,8,7,7,8,8,8,8,8,7,8,8,6,8,7,8,8,7,8,7,8,661,7.107526882,2.597007948,
